cccccccc cccccccv ccccccvc ccccccvv cccccvcc cccccvcv cccccvvc cccccvvv
ccccvccc ccccvccv ccccvcvc ccccvcvv ccccvvcc ccccvvcv ccccvvvc ccccvvvv
cccvcccc cccvcccv cccvccvc cccvccvv cccvcvcc cccvcvcv cccvcvvc cccvcvvv
cccvvccc cccvvccv cccvvcvc cccvvcvv cccvvvcc cccvvvcv cccvvvvc cccvvvvv
ccvccccc ccvccccv ccvcccvc ccvcccvv ccvccvcc ccvccvcv ccvccvvc ccvccvvv
ccvcvccc ccvcvccv ccvcvcvc ccvcvcvv ccvcvvcc ccvcvvcv ccvcvvvc ccvcvvvv
ccvvcccc ccvvcccv ccvvccvc ccvvccvv ccvvcvcc ccvvcvcv ccvvcvvc ccvvcvvv
ccvvvccc ccvvvccv ccvvvcvc ccvvvcvv ccvvvvcc ccvvvvcv ccvvvvvc ccvvvvvv
cvcccccc cvcccccv cvccccvc cvccccvv cvcccvcc cvcccvcv cvcccvvc cvcccvvv
cvccvccc cvccvccv cvccvcvc cvccvcvv cvccvvcc cvccvvcv cvccvvvc cvccvvvv
cvcvcccc cvcvcccv cvcvccvc cvcvccvv cvcvcvcc cvcvcvcv cvcvcvvc cvcvcvvv
cvcvvccc cvcvvccv cvcvvcvc cvcvvcvv cvcvvvcc cvcvvvcv cvcvvvvc cvcvvvvv
cvvccccc cvvccccv cvvcccvc cvvcccvv cvvccvcc cvvccvcv cvvccvvc cvvccvvv
cvvcvccc cvvcvccv cvvcvcvc cvvcvcvv cvvcvvcc cvvcvvcv cvvcvvvc cvvcvvvv
cvvvcccc cvvvcccv cvvvccvc cvvvccvv cvvvcvcc cvvvcvcv cvvvcvvc cvvvcvvv
cvvvvccc cvvvvccv cvvvvcvc cvvvvcvv cvvvvvcc cvvvvvcv cvvvvvvc cvvvvvvv
vccccccc vccccccv vcccccvc vcccccvv vccccvcc vccccvcv vccccvvc vccccvvv
vcccvccc vcccvccv vcccvcvc vcccvcvv vcccvvcc vcccvvcv vcccvvvc vcccvvvv
vccvcccc vccvcccv vccvccvc vccvccvv vccvcvcc vccvcvcv vccvcvvc vccvcvvv
vccvvccc vccvvccv vccvvcvc vccvvcvv vccvvvcc vccvvvcv vccvvvvc vccvvvvv
vcvccccc vcvccccv vcvcccvc vcvcccvv vcvccvcc vcvccvcv vcvccvvc vcvccvvv
vcvcvccc vcvcvccv vcvcvcvc vcvcvcvv vcvcvvcc vcvcvvcv vcvcvvvc vcvcvvvv
vcvvcccc vcvvcccv vcvvccvc vcvvccvv vcvvcvcc vcvvcvcv vcvvcvvc vcvvcvvv
vcvvvccc vcvvvccv vcvvvcvc vcvvvcvv vcvvvvcc vcvvvvcv vcvvvvvc vcvvvvvv
vvcccccc vvcccccv vvccccvc vvccccvv vvcccvcc vvcccvcv vvcccvvc vvcccvvv
vvccvccc vvccvccv vvccvcvc vvccvcvv vvccvvcc vvccvvcv vvccvvvc vvccvvvv
vvcvcccc vvcvcccv vvcvccvc vvcvccvv vvcvcvcc vvcvcvcv vvcvcvvc vvcvcvvv
vvcvvccc vvcvvccv vvcvvcvc vvcvvcvv vvcvvvcc vvcvvvcv vvcvvvvc vvcvvvvv
vvvccccc vvvccccv vvvcccvc vvvcccvv vvvccvcc vvvccvcv vvvccvvc vvvccvvv
vvvcvccc vvvcvccv vvvcvcvc vvvcvcvv vvvcvvcc vvvcvvcv vvvcvvvc vvvcvvvv
vvvvcccc vvvvcccv vvvvccvc vvvvccvv vvvvcvcc vvvvcvcv vvvvcvvc vvvvcvvv
vvvvvccc vvvvvccv vvvvvcvc vvvvvcvv vvvvvvcc vvvvvvcv vvvvvvvc vvvvvvvv
